,name,description
141,家庭弓箭套装,"使用我们最具性价比的家庭弓箭套装，享受后院射箭的乐趣，它包含了您开始命中目标所需的一切。规格包括：

54"" 拉力：20磅。拉距：24""。拉弓手：右手。

拉力：20磅。拉距：24""。拉弓手：左手。

62"" 拉力：29磅。拉距：28""。拉弓手：右手。

拉力：29磅。拉距：28""。拉弓手：左手。

拉力：36磅。拉距：28""。拉弓手：左手。

拉力：36磅。拉距：28""。拉弓手：右手。

我们喜爱它的理由：这款制作精良的套装包含了向您的家人介绍射箭并让您享受多年乐趣所需的一切。选择合适的弓很容易：确定您将用哪只手拉弓弦。如果用右手，您需要一把右手弓。一般来说，儿童使用20磅拉力会更舒适，大多数成年人应选择29至36磅的拉力。更强壮的成年人应选择36磅拉力。

结构："
142,Outdoor Research 防风秘鲁帽,这款柔软的抓绒防风帽旨在保持头部温暖，且不会增加任何额外重量或臃肿感。它采用100% WINDSTOPPER®聚酯抓绒制成，可机洗和烘干。它提供防寒保护，几乎不增加臃肿感或重量，并配有下巴抽绳和绳扣，在刮风条件下提供额外安全保障。本产品为进口。
143,"obot

Microbot","这款产品非常适合任何寻求快速解决需求的人。它可以轻松定制和调整，以满足您的特定要求。在我们的专家建议下，您可以迅速找到最适合您的产品。

这款产品非常适合任何寻求快速解决需求的人。它可以轻松定制和调整，以满足您的特定要求。在我们的量身定制指导下，您可以迅速找到最适合您的产品。"
144,女士超轻850蓬松度印花羽绒服,"我们的革命性850蓬松度羽绒服无惧寒冷潮湿天气，更经得起同类产品的比较。我们融合了所有顶尖的外套技术——创新DownTek拒水羽绒填充、850蓬松度以及Pertex Quantum聚酯纤维外壳，带来无与伦比的性能。轻度活动：适用至30° 中度活动：适用至-20°。关于舒适度评级，尺码与版型 - 贴合剪裁，腰部略修身。微修身版型。最适合搭配中等厚度内搭。衣长及臀。

核心技术 - 我们选用优质850蓬松度羽绒，在同等重量下提供更卓越的保暖性，并采用革命性的DownTek拒水技术进行处理，使我们的夹克能做到许多其他产品无法做到的事——即使在潮湿环境下也能让您保持温暖。普通羽绒容易吸湿，而我们的羽绒吸湿量减少33%，干燥速度加快66%，从而保持轻盈、蓬松和保暖。外部采用颠覆性的Pertex Quantum尼龙外壳，紧密编织以抵御恶劣天气。经革命性DownTek处理的羽绒持久干爽且干燥更快，让出色的保暖性能更上一层楼。观看视频

面料与护理 - 850蓬松度鹅绒是市场上最高规格之一，在同等重量下提供更佳的保暖性"
145,男士Excursion旅行内裤,这款ExOfficio男士内裤专为各种场合的性能与舒适而设计——从旅行、钓鱼到日常穿着。采用94%尼龙和6%氨纶的透气吸湿排汗混纺面料制成，这款内裤体积小巧，不会占用行李太多空间。尼龙/氨纶混纺提供出色的弹性和舒适度，并经过Aegis Microbe Shield抗菌处理，有效抵御产生异味的细菌。为获得最佳护理效果，请机洗并悬挂晾干。进口商品。
146,经典格纹牛津纺衬衫,我们柔软修身的牛津纺衬衫现推出格纹款式，无论是上班还是周末休闲均可穿着。尺码与版型 - 修身版型：胸部、袖子和腰部采用修身剪裁。面料与护理 - 100%纯棉，6.5盎司克重。经过成衣水洗处理，从第一天起就具备非凡的柔软度。可机洗并烘干。其他特点 - 较厚重的棉质面料呈现传统牛津纺外观。剪裁考究，精准修身，从工作到周末，束进裤子或外穿皆宜。纽扣领。单贴袋。后中箱型褶。衬衫式下摆。进口商品。
147,儿童夜光印花T恤,这款儿童T恤是孩子们冒险衣橱的完美补充。它超级柔软、超级酷炫，印有受大自然启发的夜光图案。凭借宽松的版型、经典的圆领设计和鲜艳的色彩，这款T恤将在未来几年成为孩子们的最爱。它采用100%纯棉制成，经得起孩子们日常的反复洗涤和玩耍。中性款式设计，男女童皆宜。进口商品。
148,Twin L® 牛仔裤，舒适弹性宽松版型,天气转冷时，我们保暖的抓绒内衬男士牛仔裤正是您保持温暖的不二之选。尺码与版型：宽松版型 - 我们最宽松的剪裁，臀部和膝部空间最大。我们喜爱它的理由：采用超过行业坚韧度标准的重磅棉制成，Double L牛仔裤是我们货架上最耐穿的牛仔裤。首先，我们采用特殊织法使其耐磨、防缩水和防褪色，然后进行双针缝制以进一步增强牢固度。最后，我们对每条牛仔裤进行成衣水洗，使其从一开始就具备穿旧般的柔软与舒适。面料与护理：100%棉质牛仔布和100%聚酯纤维抓绒内衬。可机洗并烘干。其他特点：预水洗处理确保柔软，经典五袋设计，受力点采用双针缝制、打结加固和铆钉，聚酯纤维抓绒内衬快干，防缩水和防褪色性能超越我们的标准，适合宽度达1¼英寸的腰带，进口商品。
149,Aurora Shield 偏光太阳镜,"Suncloud Sentry太阳镜采用超轻偏光镜片、坚固的TR90 grilamid尼龙镜框以及megol鼻托，在剧烈运动时也能保持镜框稳固。

尺码与版型
最适合中等脸型。

构造
镜片由轻质耐用的注塑聚碳酸酯制成。Grilamid镜框柔韧且坚固。Megol鼻托确保眼镜稳固佩戴。

其他特点
6和8基弯镜片曲率。附赠超细纤维清洁/收纳袋。镜片可过滤所有有害紫外线。进口商品。

有疑问？请联系客服获取更多帮助。"
150,男士Teva Tundra皮革凉鞋,"Teva最坚固的凉鞋在潮湿或干燥地形上均能提供稳定性、舒适性和卓越性能。

尺码与版型
半码请拍大一码。

规格
每双约重：1磅8盎司。

构造
防水全粒面皮革鞋带，背面衬有氯丁橡胶以提升舒适度。
鞋跟处的Shoc Pad提供出色的弹性和能量回馈。
超细纤维包裹的EVA鞋床经过防臭处理。
柔软压缩成型EVA中底。
无痕Spider Rubber蜘蛛橡胶外底。
便捷的魔术贴闭合设计，轻松调节至完美贴合。
橡胶鞋头保护套在沙滩或步道上保护您的脚趾。
快拆扣设计，方便穿脱。
进口商品。"
151,舒适绗缝卫衣,我们的卫衣凭借其出色的绗缝纹理和百搭的重量，轻松实现跨季穿搭，堪称即刻成为经典的单品。采用传统版型，胸部、袖子和腰部宽松舒适，这款套头衫足够轻盈，一年中大部分月份均可穿着。棉混纺面料超级柔软舒适，是完美的休闲内搭。为了让穿脱更轻松，这款卫衣还配有按扣门襟和传承经典的Mt. Katahdin标志贴布。护理方面，可机洗并烘干。进口商品。
152,舒适惬意拖鞋,"宛如为您量身定制的芭蕾平底鞋。柔软的泡沫填充鞋垫可贴合足部轮廓，带来如漫步云端的极致舒适体验。

尺码与版型
半码请拍大一码。

结构
奢华绒面革鞋面。装饰性蝴蝶结和之字形缝线细节增添时尚感。鞋跟处配有弹性插片，确保贴合且易于穿脱。内衬采用极其柔软的80%聚酯纤维和20%腈纶抓绒。填充鞋垫贴合足部轮廓。EVA泡沫中底提供更多缓冲，提升舒适度。纹理橡胶外底提供出色抓地力。进口。"
153,SplashSport 水彩印花吊带泳衣上衣,"采用透气、快干的高级意大利面料制成，我们的女士水彩印花圆领吊带分体泳衣上衣让您在阳光下和海浪中全天保持出色外观与舒适体验。

尺码与版型
软罩杯胸衣。下摆及臀。

面料与护理
80%尼龙，20%莱卡Xtra Life纤维。莱卡Xtra Life提供持久贴合。其抵抗阳光、氯气和热量降解的能力是未防护面料的10倍。全前幅衬里：95%聚酯纤维，5%氨纶。UPF 50+评级——可达到的最高防晒评级。手洗，悬挂晾干。

附加特性
弹性面料快干、透气且抗氯。混搭BartSport分体泳衣系列，打造完美泳装。进口。

持久防晒
我们的高性能面料提供SPF 50+防晒保护，阻挡98%的有害紫外线。该面料被皮肤癌基金会推荐为有效的紫外线防护材料。"
154,女士Tempest Trekkers网眼系带徒步鞋,"我们畅销的Storm Chaser鞋履兼具雨靴的防护性与运动鞋的舒适性。这款为冬季打造的组合让您在雨天、雪地乃至零下10度的环境中都能保持舒适。

尺码与版型
请按常规鞋码订购。（若无半码，请拍大一码至下一个整码）。

规格
约重：每双2磅6盎司。
鞋跟高度：1.5英寸。

结构
防水尼龙鞋面。
防水透气的TEK2.5®内衬保持足部干爽。
200克PrimaLoft®保暖棉，增添温暖。
橡胶外底采用深齿纹和凹槽设计，提供卓越抓地力。
模压TPU鞋头防撞层，提升耐用性与防护性。

附加特性
贴合足弓的鞋垫提供良好的足弓支撑。
宽敞的鞋头设计带来额外舒适感。
进口。"
155,Careless 耐穿T恤，经典版型，长袖亨利衫,"采用柔软棉质制成，抗皱、防污、防缩水、防褪色和防起球，我们这款耐穿的亨利衫洗后依然保持原有版型。尺码与版型 传统版型：胸部、袖子和腰部宽松。

喜爱理由 我们将防缩Carefree T恤进行了实验室和实地测试。很高兴地告诉大家，我们的防缩T恤以优异成绩通过了测试。此外，100%纯棉面料抗皱、防污、防褪色、防起球和防缩水，因此我们的衬衫在保持舒适和柔软的同时，始终维持标准尺码的合身度。难怪它自推出以来一直深受顾客喜爱。

面料与护理 100%平纹针织棉。双环纺面料防缩水、防污、防皱、防褪色和防起球。专为舒适打造，面料越洗越柔软。可机洗并烘干。

附加特性 舒适到足以日常穿着。耐用的双针缝线。领缝处采用柔软的平纹针织包边。平直下摆可塞入或自然垂下。无标签设计"
156,Pocket Water 钨制Baetis双飞毛钩组合,进口。如有任何问题，请随时与我们联系。
157,男士野牛皮双底羊剪绒拖鞋,我们顶级的男士羊剪绒内衬野牛皮拖鞋采用传统莫卡辛款式，提供额外的保暖与舒适层。这些拖鞋采用优质野牛皮和真正的羊剪绒内衬精制而成，还配有柔软的泡沫鞋垫，提供缓冲和额外保暖。鞋底触感光滑，但可打磨粗糙以增加抓地力。它们同样从澳大利亚进口。穿上这些温馨舒适的拖鞋，尽享两全其美的体验。
158,易打理长袖方格牛津纺衬衫,"经过抗皱处理并饰以女性化细节，我们这款极细针尖牛津纺衬衫无论是在刚出烘干机时还是全天穿着后，都能呈现精致外观。

尺码与版型：
宽松版型：我们最宽松的版型，离身体最远。下摆及低臀。

面料与护理：
100%棉。挺括平滑的针尖面料由极细牛津纺制成，并经过抗皱处理。可机洗并烘干。

附加特性：
剪裁精细，配有窄门襟和珠光纽扣。贴边缝线保持平滑，几乎无需熨烫。女士尺码配有胸省。进口。"
159,Mountain Ridge 抓绒马甲,我们的Sherpa抓绒马甲专为探险设计，配备丰富功能，让您从山顶到山麓小屋都能保持活力与出色外观。其微修身款式最适合搭配中等重量内搭，下摆及臀，穿着舒适。采用超柔软Sherpa抓绒制成，提供重磅保暖效果，非常适合寒冷的户外日子或进城时穿着。它采用厚实舒适的300克重Sherpa抓绒，实现最大保暖，100%聚酯纤维面料，可机洗。为提升舒适度，袖孔和下摆处的弹性设计可阻挡冷风，同时两个下部拉链插手袋提供便利。进口。
160,Double L 舒适牛仔裤，宽松版型松紧腰,"我们的经典 Double L 采用耐用棉质牛仔布制成——这款畅销的女士宽松版型舒适腰牛仔裤两侧带有微弹力松紧设计，带来极致舒适。

尺码与版型：
内缝长度：女士 30""，娇小版 28""，中高版 32""，大码女士 30""。
原版型：腰部较高。
臀部和腿部宽松。
锥形裤腿。

面料与护理：
100% 棉质牛仔布，经水洗处理更加柔软。
可机洗并烘干。

其他特点：
舒适腰部两侧带有微弹力松紧设计，全天舒适。
五袋设计。
进口。"
161,男士超耐用 Katahdin 中筒袜,采用经典 Katahdin 标志，这些 Darn Tough 袜子就在新英格兰本地制造，蕴含美利奴羊毛的所有天然优势。尺码与版型：性能版型，防滑、不堆叠、不起水泡。我们喜爱它的理由：我们与 Darn Tough 合作设计了这款独家徒步袜，饰有我们经典的“Katahdin 日落”标志。名副其实，Darn Tough 袜子专为承受最恶劣条件而造；我们甚至在阿巴拉契亚小径上对其进行了测试，以确保长时间徒步时的耐用性和舒适性。面料与护理：采用 59% 美利奴羊毛、38% 尼龙和 3% Lycra 氨纶混纺，透气舒适。天然抗菌纤维可抵御细菌和异味。吸湿排汗，快干。请勿漂白。请勿干洗。可机洗并烘干。其他特点：无缝结构提供超顺滑、隐形的穿着感。细针距编织，更加耐用。中筒高度刚好落在小腿下方。足底中等密度缓冲，穿着舒适。佛蒙特州制造。
162,女士 Pearl Izumi Performance Attack 骑行短裤,"这款 Pearl Izumi 骑行短裤专为女性设计，提供贴身版型、衬垫和透气性，确保骑行时的持久舒适。

尺码与版型
8"" 内缝长度。

面料与护理
88% 尼龙，12% Lycra® 氨纶。
麂皮衬垫：开孔泡沫外覆聚酯纤维。
机洗，悬挂晾干。

其他特点
弹力性能面料轻柔贴合肌肉，将湿气从皮肤表面排出，保持干爽。
高级 Select Pursuit 麂皮衬垫专为女性设计，消除压力点和摩擦。
裤腿内侧采用防滑硅胶材质，固定短裤位置。
反光细节提高可见度。
UPF 50+ 防晒。
进口。"
163,Storm Shield 户外夹克,"这款水洗工装夹克专为室内外轻松穿搭的时尚与舒适而设计。

尺码与版型：
微修身版型：柔和勾勒身形。下摆落于低臀围处。

面料与护理：
采用 98% 棉与 2% 氨纶的防撕裂混纺面料，弹性极佳。成衣染色，一开始就带来穿旧的舒适感。可机洗并烘干。

其他特点：
立领、前门襟和口袋处饰有女性化缝线细节。两个胸部口袋和两个下部工装口袋，带纽扣翻盖及额外的侧插袋。内部可调节抽绳，打造更修身版型。袖口双纽扣设计。进口。"
164,Thermos-Tight 真空密封食物罐，14 盎司,"我们的 14 盎司不锈钢真空食物罐是忙碌生活的必备单品。采用双层壁结构，100% 不含 BPA。盖子易于打开，设计时尚紧凑，防漏且符合人体工程学。该容器可轻松放入包袋和背包中，保温长达 6 小时。为获得最佳效果，请用热水预热。本产品为进口。

规格
尺寸：6¾"" x 3½"" 直径。
重量：10.2 盎司。
其他特点
易开盖。
时尚紧凑设计。
防漏且符合人体工程学。
轻松放入包袋和背包。
保温长达 6 小时。
用热水预热以获得最佳效果。"
165,探险全天候系带靴,"我们的经典靴款设计融入了您喜爱的 Storm Chaser 风暴猎人特性。这款靴子配备了突破性的 SolarCore 气凝胶保暖技术，在轻量化的同时提供最大保暖效果。穿上这双靴子，您可以在 30° 下进行轻度活动，在 -10° 下进行中度活动。

为了获得最佳贴合度，建议穿着中等厚度的袜子。如果您的尺码没有半码，我们建议您选择大一码的整码。

灵感源自开启一切的初代靴款，这款全天候靴子提供防水保护和保暖性能。其 SolarCore 气凝胶极其轻薄，在潮湿或受压时也不会失去保暖性。全粒面牛巴革内衬 200 克防水 PrimaLoft® 保暖材料，带来非凡温暖。模压 EVA 中底、EVA 模压鞋床和尼龙支撑杆提供额外的支撑和保护。开槽橡胶外底采用多齿纹设计，在湿滑表面上提供抓地力。TEK2.5® 防水透气薄膜内衬以及后领处的皮革/尼龙提环使其易于穿脱。

如果"
166,Boater's Edge 划船手套,不要让水泡或冰冷的手毁掉美好的划船日。我们的 H2Core® 防晒面料凉爽舒适，提供 UPF 50+ 防晒，阻挡 98% 的有害紫外线。这款手套专为应对划船的严苛条件而设计，掌心采用 Amara® 加固并带有硅胶，提供卓越的抓地力和舒适度。配有魔术贴腕带闭合设计，贴合紧密，且可扣合在一起便于收纳。进口。
167,女士 STORM-BLOCK Pro 连帽衫,"这款连帽夹克抵御恶劣天气，让您保持干爽。结合了抓绒的舒适与软壳的保护，是任何季节的完美夹克。

尺码与版型：微修身版型。最适合搭配轻薄内搭。下摆落于臀围下方。

科技：我们率先推出的 STORMFLEECE Pro 科技，创新融合了软壳与抓绒。坚固且防风雨的软壳外层主动抵御潮湿天气并阻挡寒风，而柔软的抓绒内层透气性佳，让您保持干爽。

面料与护理：光滑防风雨的软壳外层，采用 STORMFLEECE Pro 面料科技。柔软保暖的抓绒内层。采用 92% 再生聚酯纤维与 8% 氨纶混纺。可机洗并烘干。

其他特点：三点可调节连帽。两个拉链插手口袋。下摆抽绳阻挡冷空气。进口。"
168,Tough Trail 防水徒步鞋,这是一款真正的徒步鞋，能够在背负背包的情况下，在崎岖的地形上进行多日徒步。规格：每双约重 2 磅 8 盎司。我们喜爱它的理由：对真正的徒步者来说极具性价比，且足够舒适，无论您这一天走向何方。配备了在崎岖小径上平稳行走所需的所有功能：支撑、抓地、舒适和耐用。结构：鞋面采用防水牛巴革，搭配聚酯网布鞋领。内衬采用经过 NXT 抗菌除臭处理的合成网布。双密度 EVA 中底和前掌鞋垫，提供最大舒适度。TEK2.5 防水内衬。Vibram XS-Trek 橡胶外底提供多表面抓地力。模压橡胶鞋头防撞设计和加长外部后跟稳定片，提供额外保护。附加功能：系带设计，可自定义贴合度。后鞋领配有织带提环。鞋面带有反光点缀，增加可见度。进口。
169,Cozy Leaf 法兰绒被套系列,"我们畅销的 Ultrasoft Comfort 法兰绒被套仅在葡萄牙织造，饰有受大自然启发的精美多彩树叶图案。

规格
单人 - 尺寸：68"" x 88""
双人 - 尺寸：81"" x 88""
大号 - 尺寸：88"" x 96""
特大号 - 尺寸：107"" x 96""
标准枕套 (1) - 尺寸：20"" x 26""（不含 2½"" 边缘）

面料与护理
100% 拉绒棉法兰绒，重 5 盎司。经过有害物质测试，符合 OEKO-TEX® STANDARD 100 认证（137 CITEVE）。烘干机滤网中积聚一些绒毛是拉绒法兰绒的自然现象，且会逐渐减少。可机洗和烘干。

附加功能
经过八次拉绒处理，带来卓越的柔软度，且每次洗涤后都会更加柔软。被套配有隐藏式纽扣闭合和内部系带，以确保被套固定。枕套采用信封式闭合。被套和枕套单独出售。标价为单个枕套的价格。葡萄牙制造。"
170,经典纹理条纹羊绒开衫（带口袋）,"我们走遍全球，来到内蒙古，为这款奢华的条纹羊绒开衫寻找最优质的羊绒。它极其柔软，其舒适度和性价比无与伦比。

尺码与版型：微修身：柔和地勾勒身形。下摆至大腿。

面料与护理：100% 内蒙古羊绒，是我们找到的最优质的羊绒。手洗并平铺晾干，或干洗。

附加功能：开放式口袋。罗纹饰边。侧开叉。进口。"
171,经典纯棉水手束腰毛衣，拼色款,"我们的渔夫束腰毛衣采用柔软的棉纱，饰有独特的拼色图案，为航海传统注入了新意。

尺码与版型：微修身：柔和地勾勒身形。下摆至低臀围。

我们喜爱它的理由：阿伦群岛最初的渔夫毛衣编织有讲述丰富沿海遗产故事的图案。从好运到丰收，每一种特殊的情感都体现在每一针每一线中。我们在更新的轮廓中重现了那些正宗的绞花图案，以较长的束腰长度精美缝制，非常适合搭配打底裤和紧身牛仔裤。

面料与护理：100% 纯棉，适合三季穿着的百搭克重。可机洗，平铺晾干。

附加功能：圆角下摆，两侧配有复古黄铜拉链。进口。

有问题？如有任何问题或疑虑，请联系我们的客户服务团队。"
172,Nemo Skyview 舒适露营椅,"推出首款既可摇摆又可躺卧的露营椅。这款椅子采用旨在提升舒适度的放松摇摆设计，是结束一天户外探索的完美方式。它采用坚固的航空级铝制悬挂框架，搭配防水尼龙网布，具有清凉、抗菌和防晒功能。配备支撑性头枕和深度后仰功能，您可以找到完美的角度来观赏夜空。它可快速紧凑地收纳，并配有防溢水杯架、储物袋以及带内部储物袋的加垫收纳袋。搭建快速简便，防刮脚垫适用于几乎所有表面。

规格
承重：300 磅。
重量：6 磅 5 盎司。
收纳尺寸：长 23.6"" x 宽 6.7"" x 高 6.7""。
展开尺寸：长 25"" x 宽 36"" x 高 45""。
进口。"
173,女士 Teva Avina 凉鞋,专为各种户外探险设计，超级时尚的全地形 Teva Sirra 凉鞋在水中和陆地上都能提供舒适与性能。尺码与版型：半码请拍大一码。结构：亲水速干聚酯织带，经久耐用。坚固的 Durabrasion 橡胶外底提供可靠的抓地力。轻质模压 EVA 泡沫中底。抗菌处理，抵抗异味。专为女性设计的鞋型与贴合度。进口。
174,保暖电热毯,"我们令人惊叹的奢华柔软电热毯采用最新加热技术，在气温下降时为您提供最大程度的舒适。

规格：
单人：尺寸：62"" x 84""
双人/大号：尺寸：84"" x 90""
特大号：尺寸：100"" x 90""

面料与护理：
正面面料为 Primalush 100% 聚酯纤维。
背面面料为 loftmink 聚酯纤维。
冷水机洗，低温滚筒烘干或阴凉处悬挂晾干。

附加功能：
Primalush™ 顶层触感极其奢华柔软。
与 PrimaLush 面料熔合的特殊隔热层将温暖反射回您的身体。
奢华的 Velvetloft® 底层设计有导流槽，以引导热量流动。
采用专利 Intellisense™ 技术，确保温度均匀——无过热或过冷区域。
超薄柔性电线意味着更少的臃肿感。
包含便捷的预热选项以暖床，五档温度设置和自动关闭功能。
包含双发光控制器，用于独立控温区；单人尺寸配有一个控制器。
进口。"
175,Traverse Trek 运动鞋,"这些轻质运动鞋具有适合小径行走的功能，让您保持舒适并获得支撑。

尺码与版型
搭配中等厚度袜子穿着效果最佳。

规格
每双约重：1 磅 8 盎司。
落差：½""。

结构
耐用的皮革与网布拼接鞋面防水。
厚实缓震的 EVA 中底和鞋垫提供全天候舒适感。
鞋垫经过处理以控制异味。
齿状橡胶外底在湿滑表面上提供强大的抓地力。

附加功能
泡沫填充的鞋领和鞋舌增加舒适度并防止碎屑进入。
后跟配有尼龙提环。
五组 Gillie 鞋带环，实现微调贴合度。
进口。"
176,儿童极致柔软拖鞋,我们的Wicked Good莫卡辛鞋非常适合那些相信自己的双脚能带他们上下山、穿过树林，或只是在院子里打雪仗的孩子们。采用优质材料和同样深受顾客喜爱的设计，这些拖鞋将他们的脚趾包裹在无与伦比的温暖云端，让他们很快又渴望再次出发。这些真正的羊剪绒拖鞋采用优质羊皮制成，耐用性远超其他儿童拖鞋，配有绒面革外底、生皮鞋带和超柔软羊剪绒，可吸湿排汗，带来无与伦比的舒适感。此外，真正的羊剪绒羊毛经过染色和处理，更加耐用。半码请拍大一码。真正的羊剪绒拖鞋现已推出男童和女童款。
177,儿童探险印花雨衣,这款防水防风的儿童印花雨衣功能丰富，并巧妙设计为可收纳于自身口袋中。它采用100%尼龙制成，接缝处压胶以隔绝湿气，并配有透气的100%聚酯纤维网眼内衬，不会紧贴皮肤。包含3M™ Scotchlite™背部三角区和拉链，提高弱光环境下的可见度，以及腋下通风口以增加透气性。内部防风门襟和弹性袖口可抵御恶劣天气，抓绒内衬护颚可防止摩擦，性价比无与伦比。可机洗和烘干。进口。
178,经典纯棉Kennebunk纽扣领衬衫，经典版型,"顾客们喜爱我们免烫纽扣领衬衫的高品质工艺，它为您提供纯棉的所有舒适感，且毫无褶皱。

尺码与版型
传统版型：胸部、袖子和腰部宽松。

我们喜爱它的原因
当我们说免烫时，我们是认真的。与我们一些竞争对手的衬衫不同，我们的免烫性能贯穿衬衫的整个使用寿命，且永远不会洗掉。但我们并未止步于此。我们希望我们的100%纯棉衬衫触感柔软透气，因此在工艺中增加了一道工序。我们的TrueCool技术有助于面料保持棉花的自然舒适感，并赋予其吸湿排汗性能，适合温暖（或忙碌）的日子。

面料与护理
100%纯棉府绸。
优质80支双股面料，更耐穿。
具有不会洗掉的免烫性能。
我们创新的TrueCool®面料能吸湿排汗，帮助快速干燥。
可机洗和烘干。

附加特性
纽扣领和单侧胸袋。
进口。"
179,有机棉露营衬衫，短袖，花卉印花,这款经典露营衬衫采用100%认证有机棉制成，具有天然透气和柔软的触感。它是我们最轻薄的面料，在炎热的日子里带来凉爽舒适。这款微修身款式在胸部和袖子处较为宽松，腰部更修身，打造迷人版型。经过水洗处理以增加柔软度，配有短袖、青年布饰边和单侧纽扣口袋。可机洗和烘干，易于打理。进口。
180,"一脚蹬鞋

Rockport FlexAir网眼拖鞋","这些轻便灵活的休闲运动鞋提供透气舒适感和百搭风格。

规格：每双约重1磅2盎司。

结构：耐用网眼鞋面，带穿孔细节以增加透气性，并配有皮革饰边。轻质EVA中底吸收冲击，有助于减轻足部和腿部疲劳。灵活的EVA外底具有抓地力控制。Strobel结构提供前掌灵活性。EVA truFLEX脊柱提供灵活、轻质的冲击吸收。透气皮革和纺织内衬，触感柔软舒适。

附加特性：鞋舌和领口带轻度缓冲。可拆卸鞋垫。进口。

有问题？请联系我们获取帮助。"
181,Sandy Shore细条纹被套,"我们最柔软的平纹被套极其光滑，且每次洗涤后都会变得更加柔软舒适。

规格
单人 - 尺寸：88"" x 68""
双人 - 尺寸：88"" x 81""
大号 - 尺寸：96"" x 88""
特大号 - 尺寸：96"" x 107""

面料与护理
220支，100%纯棉。经过有害物质测试，符合OEKO-TEX® STANDARD 100认证（BEHO 103206, TESTEX）。可机洗和烘干。

附加特性
经酶洗处理以增强天然柔软度，打造超舒适质感和厚实手感。隐藏式纽扣闭合和内部绑带确保被套固定。进口。"
182,保温手提袋，印花中号,"我们的保温包造型与经典手提包相似，但能让您的午餐和饮料保持凉爽。这款全新印花版本是我们手提包系列中美观的补充。

规格：
- 容量：约1,008立方英寸，16.5升。
- 重量：2磅5盎司。
- 尺寸：高11¾"" x 宽16¾""，向下收窄至宽13"" x 深6""。

我们喜爱它的原因：
终于，有一款厚实的保温包能让食物和饮料保持凉爽，而且外观时尚。带上它去野餐、车尾派对、露营或任何您想冷藏食物和饮料的地方。

结构：
- 主面料为600旦尼尔聚酯纤维，饰边面料为8盎司棉帆布。
- 食品级压胶内衬，不含BPA和PVC。
- 内衬经过测试，不含铅和邻苯二甲酸盐。
- 可拆卸肩带。

附加特性：
- 内衬防漏且易于清洁。
- 进口。

如有任何问题，请随时联系我们。"
183,Elemental滑雪杖,采用坚固的7000系列铝材制成，这些越野滑雪杖具有出色的强度重量比、成型合成软木握把以及不会失去锋利度的碳化钨杖尖。结构包括7000系列铝合金杖杆、成型合成软木握把、碳化钨杖尖和可调节聚酯纤维腕带。这套两根装的滑雪杖提供90厘米长度，以及105至165厘米（以5厘米递增）的长度，为进口产品。
184,舒适格纹法兰绒衬衫，微修身,这款法兰绒衬衫采用与我们的男士苏格兰格纹衬衫相同的高品质棉质法兰绒制成。微修身设计，塑造柔和轮廓，穿着更显身材。尺寸与版型：微修身：柔和勾勒身形。下摆落于低臀围处。我们喜爱它的理由：只有得到大师级织工的认可，才能证明我们独家定制的葡萄牙法兰绒是无可挑剔的。面料每面经过八次精细拉绒处理，极其柔软、经久耐用的面料通过了熟练工匠的“触感测试”。面料与护理：高品质葡萄牙棉质法兰绒。正宗苏格兰格纹图案采用特殊的色织工艺，色彩持久鲜艳。可机洗并烘干。附加特性：前扣式设计，胸前口袋，衬衫式下摆。进口。
185,男士巅峰行者日用背包,"这款技术性轻量化日用背包采用定制贴合设计，提供卓越的舒适性和稳定性。

规格：
容量：1,672立方英寸；27.4升。
重量：1磅12盎司。
尺寸：20"" x 10"" x 6.5""。

我们喜爱它的理由：Ridge Runner设计周到，将迅速成为您从艰苦的山地日间徒步到去当地农贸市场散步的首选背包。胸带和肩带可轻松调节，确保舒适稳定的贴合感。轻量耐用的面料确保持久的品质，丰富的收纳功能让您的装备触手可及。

构造：
主面料采用坚韧的100D三重防撕裂尼龙；内衬210D尼龙。
背板和肩带采用网布包裹的双密度泡沫，并打孔以增强透气性。
大型主仓采用反向倾斜拉链，开口更宽，取放更便捷。
大型弹力网布水壶袋，配有集成式可收纳压缩带。
冰镐挂环，配有弹性登山杖挂载点。

附加特性：
前置插袋方便随时取放额外衣物。
F"
186,趣味图案袜，两双装,我们的图案靴袜是搭配靴子的完美选择。采用弹力面料制成，印有充满趣味的户外灵感图案，这些袜子一定会成为您的最爱。面料与护理：51%美利奴羊毛，47%尼龙，2%莱卡弹性纤维。可机洗并烘干。附加特性：柔软弹力的美利奴羊毛混纺。充满趣味的户外灵感图案——从靴子顶部露出一点非常好看。两双装。美国制造。如有任何问题，请联系我们。
187,Sea Sprit混合锁握皮划艇桨，细桨杆,"这款超轻坚固的碳纤维桨杆皮划艇桨能减少疲劳并提高划桨效率。100%碳纤维复合桨杆轻便耐用，可减轻疲劳和关节压力。玻璃纤维增强尼龙abXII桨叶比上一代更坚固、更轻22%。较小直径的桨杆非常适合小手使用，旨在最大限度地减少短途旅行和长途探险中的疲劳。Posi-Lok™可调节套管系统提供无级羽角调节和极其牢固的锁定，椭圆形桨杆则提升了握持舒适度和羽角控制。重量：30.5盎司。桨叶尺寸：长18"" x 宽6.25""。两段式结构。进口。"
